Number_of_Garments,Fabric_Required_kg
42005,11738.78
48698,13722.81
14728,4121.83
6817,1960.01
35841,10003.72
27751,7723.88
6240,1753.38
33218,9515.42
36881,10352.81
42690,12289.12
27593,7754.08
38718,10912.25
525,151.56
10563,3040.28
22398,6312.53
14210,4142.43
22159,6189.71
24998,6980.77
22641,6486.15
2947,849.54
35242,9855.56
24907,6949.0
19313,5594.86
40635,11804.17
23800,6809.23
46274,12904.25
43436,12210.84
19065,5565.35
15356,4456.66
25011,7049.0
41760,12100.42
10759,3046.41
13830,3975.09
46094,13423.6
42569,11872.17
41713,11692.73
47884,13472.81
30394,8610.08
42043,12094.99
14492,4168.34
3765,1058.49
2203,637.43
26390,7433.81
13926,4050.9
37270,10821.84
20722,5820.91
32817,9304.04
42229,12010.5
17459,4886.16
48923,13985.84
17319,4996.88
28177,8190.18
26275,7436.7
9165,2613.27
6057,1748.32
7285,2040.19
10584,3060.49
27766,7951.46
25316,7172.35
30774,8783.36
36356,10548.37
852,245.01
7607,2187.69
35290,10183.81
42106,11904.31
19334,5492.22
29835,8291.78
47423,13769.55
17361,5064.63
11808,3366.57
7073,2053.15
19658,5698.24
33370,9562.27
10116,2864.88
10687,3051.79
34857,10142.12
39352,11116.71
1376,384.55
23888,6937.0
20253,5696.91
15885,4612.79
5261,1468.32
31949,9249.34
49946,14257.89
8341,2333.02
31248,9104.65
10921,3075.92
39853,11314.45
13980,4069.75
49597,14297.65
13282,3825.67
26248,7665.88
42690,12089.65
34019,9671.9
16346,4594.48
22256,6191.06
36401,10234.29
14532,4039.57
46489,13336.22
15103,4211.25
2158,626.09
4743,1352.71
18350,5273.94
14140,4037.81
47505,13833.74
37523,10734.81
16025,4632.12
26777,7513.31
6452,1853.44
23319,6620.52
30706,8910.41
3650,1049.27
42448,11854.77
26486,7634.64
7261,2043.38
12565,3587.52
9286,2636.17
18354,5221.12
5040,1432.32
36166,10100.09
42838,12513.61
1067,311.23
49485,14349.11
10999,3120.05
31646,8890.02
26382,7670.17
10889,3084.59
25686,7234.57
29919,8435.36
45751,13337.18
36522,10493.01
31994,8960.91
19545,5491.7
3932,1125.06
35633,9932.47
20652,5755.5
38384,10926.74
34907,9778.09
33381,9313.85
12278,3423.74
4553,1308.97
15514,4400.22
37434,10533.31
39062,10876.47
5472,1553.22
38351,10965.68
20833,6066.46
13486,3876.13
20690,5819.61
26038,7283.87
42403,11964.0
20820,6060.98
4854,1349.45
40808,11920.14
6652,1855.37
14069,4010.84
8780,2556.51
4608,1338.18
24317,6855.84
28816,8349.61
46207,13038.96
42958,12260.75
43869,12700.9
19720,5741.53
6888,2006.16
8900,2506.63
7114,2052.06
10287,2898.42
39738,11161.47
22571,6337.4
41665,12084.06
33222,9462.84
3429,957.34
27859,8070.56
2989,830.72
8673,2488.75
17267,4837.83
29056,8302.36
28128,8040.89
7431,2072.86
45386,13196.25
35855,9981.62
24296,6952.93
9805,2784.61
2841,801.92
2714,788.92
13867,3988.07
43808,12237.32
36792,10687.12
26732,7799.12
49217,13784.57
15614,4531.11
11703,3398.96
1724,483.46
21870,6320.96
27082,7835.01
48272,13971.28
17585,4926.32
46058,12869.31
2637,765.02
14677,4120.11
30266,8560.97
15015,4219.99
43355,12166.59
21612,6091.24
4649,1355.9
18392,5202.71
33484,9495.07
35241,9958.89
1908,533.32
17218,4828.26
17497,4871.52
39196,11134.31
47845,13831.11
28699,8222.65
33616,9396.44
37887,10630.47
3008,866.23
210,59.91
35387,10179.52
48724,14050.92
13012,3683.24
4685,1365.19
21739,6233.77
43575,12634.97
47269,13741.13
33334,9409.6
26864,7589.7
45792,12917.38
8441,2368.62
43676,12721.73
44488,12836.39
11505,3297.86
19823,5623.02
126,35.56
13874,3940.23
38109,10918.99
21218,6036.54
29077,8359.72
33600,9563.16
48331,13546.85
5657,1594.82
43606,12510.32
22066,6160.95
49326,13871.55
